n,m,Inst,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_upper_bound_AFBC,nb_generated_col_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC
40,4,111,22102,0.0,11263,11263,1748,True,0.859243507336022,0.0,5.339699000000003,64.024716,3.9552990000000463
40,4,116,19551,0.0,15566,15566,6331,True,0.8836376655473562,0.0,31.10362,79.695282,19.936216999999967
40,4,121,19852,0.0,35751,35751,2205,True,0.9022264758763738,0.0,8.481761999999996,47.279106,5.853117000000012
50,2,1,43076,0.0,1268,1268,981,True,0.38768687899555004,0.0,16.606809999999996,48.032728,12.933947000000014
50,2,6,47825,0.0,14272,14272,2407,True,0.721254573952509,0.0,34.021417,86.789116,26.531768999999976
50,2,11,43454,0.0,23028,23028,790,True,0.7986376397846312,0.0,6.095424999999999,58.093176,5.523091000000001
50,2,16,38272,0.0,46072,46072,8217,True,0.8241534280721113,0.0,87.67389899999998,155.535578,60.28714300000004
50,2,21,36837,0.0,111069,111069,796,True,0.9602302033021085,0.0,5.178654000000002,58.605126,4.955646000000009
50,2,26,42722,0.0,26,26,272,True,0.9999999999765928,0.0,1.7212089999999982,26.310312,1.7140899999999988
50,2,31,50634,0.0,5378,5378,3679,True,0.5975826519611805,0.0,52.310069000000006,104.451337,41.26155999999999
50,2,36,52878,0.0,18956,18956,4859,True,0.8247853549524418,0.0,34.866823000000004,92.826064,27.553015000000023
50,2,41,50054,0.0,38058,38058,5705,True,0.8228912774039459,0.0,43.216499,116.906203,35.157790000000034
50,2,46,41180,0.0,82105,82105,17157,True,0.8879310344611964,0.0,98.827393,156.488404,72.604644
50,2,51,45580,0.0,0,0,1,True,0.9999999999780605,0.0,0.0600319999999999,0.2715119999999999,0.0496319999999999
50,2,56,48655,0.0,761,761,1170,True,0.49715342718123207,0.0,13.370672,65.189616,10.279823999999984
50,2,61,60495,0.0,13682,13682,16095,True,0.7718158525370391,0.0,149.152232,237.308136,112.75245000000012
