NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt050_051,50,2,0.29205998499674024,0.258455,0.05548100000000003,0.04782599999999998,0.04782799999999998,0.0013859999999999983,0.197314,0.047804999999999986,0.03542000000000001,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,45580,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_056,50,2,63.21496251299686,62.849992,12.430790000000002,7.647030999999991,1.3823300000000032,50.238351,0.17738199999999438,5.315469000000057,2.8390160000000435,0,761,761,0.04246575336648527,761,730,1106,260,9,21/06/12,15000,1,0.8,4,48655,24472,20,0.2,false,0,0,0,0,0,110,0,0
wt050_061,50,2,180.04509641700133,178.77817199999998,98.574935,59.91896499999973,3.690835000000007,79.950946,0.24856599999999673,22.204359999998985,9.30377499999986,0,13682,13682,0.007362685907277081,13682,13582,13119,460,19,21/06/12,15000,1,0.8,4,60495,13858,20,0.2,false,0,0,0,0,0,110,0,0
wt050_066,50,2,72.7084203800041,72.383561,4.258868000000007,4.247550000000004,4.247551999999999,67.95624,0.16475299999999038,1.9022490000000118,0.059651999999999816,0,40907,40907,0,40907,40907,708,708,0,21/06/12,15000,1,0.8,4,42415,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_071,50,2,58.57015922500432,58.213301,3.2019540000000006,3.189292000000002,3.1892950000000013,54.83478,0.17653800000000075,1.5807410000000388,0.03321300000000349,0,78532,78532,0,78532,78532,566,566,0,21/06/12,15000,1,0.8,4,42291,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_076,50,2,0.3348827640002128,0.286784,0.07006700000000002,0.062346999999999986,0.062350000000000017,0.0011099999999999999,0.211997,0.062144000000000005,0.04660600000000001,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,57822,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_081,50,2,78.51746924399777,78.050878,6.4078990000000005,4.364125000000001,2.360399000000001,71.396078,0.24592499999999973,2.5907499999999857,0.5822440000000171,0,542,542,0.007434944224098617,542,538,485,342,1,21/06/12,15000,1,0.8,4,60782,60782,20,0.2,false,0,0,0,0,0,110,0,0
wt050_086,50,2,1084.5662620069998,1076.153869,976.9790180000001,596.1132719999986,5.680283000000003,98.949342,0.22208100000000286,153.28197499997177,58.700407999999825,0,12557,12557,0.02372218146052644,12558,12267,187333,529,103,21/06/12,15000,1,0.8,4,56774,15811,20,0.2,false,0,0,0,0,0,110,0,0
wt050_091,50,2,173.9479961149991,172.836604,99.536497,62.861100000000036,4.2028020000000055,73.047191,0.2523840000000064,16.100854999999044,4.657228000000217,0,47349,47349,0.0011841075846069375,47349,47293,18907,565,37,21/06/12,15000,1,0.8,4,58096,7662,20,0.2,false,0,0,0,0,0,110,0,0
wt050_096,50,2,67.58466844399663,67.32069899999999,6.668136000000004,5.871884999999992,3.8924229999999937,60.424399,0.22798600000000135,2.1657830000002107,0.11080799999997737,0,92822,92822,0.0002262906649688442,92822,92801,1171,550,2,21/06/12,15000,1,0.8,4,50619,4134,20,0.2,false,0,0,0,0,0,110,0,0
wt050_101,50,2,0.2897012019966496,0.25929,0.06038199999999999,0.051651,0.05165399999999998,0.0008400000000000005,0.194396,0.05148300000000003,0.038119000000000014,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,51299,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_106,50,2,0.35200267499749316,0.299797,0.07466600000000001,0.06389300000000003,0.06389500000000001,7.000000000000062e-06,0.22133999999999998,0.06311500000000003,0.04804599999999998,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,59079,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_111,50,2,98.68868948300224,98.299888,8.836247,8.195912000000007,6.464149999999989,89.188624,0.2712669999999946,3.090681000000245,0.2605280000000363,0,15564,15564,0.0013510905229781192,15564,15543,1317,651,3,21/06/12,15000,1,0.8,4,64306,4699,20,0.2,false,0,0,0,0,0,110,0,0
wt050_116,50,2,591.611408790006,587.6717130000001,472.215857,279.75365199999953,3.5006759999999986,115.223147,0.22885899999999992,62.007414999998105,22.506866999999247,0,19608,19608,0.0045081967210805225,19608,19520,85220,479,95,21/06/12,15000,1,0.8,4,49744,8817,20,0.2,false,0,0,0,0,0,110,0,0
wt050_121,50,2,79.45427987899893,79.136026,5.503559999999993,5.492446000000001,5.492447000000013,73.40879,0.21987100000001192,2.2897390000001963,0.03896299999999542,0,41696,41696,0,41696,41696,705,705,0,21/06/12,15000,1,0.8,4,49648,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_121,50,4,7287.388653922004,7209.766942,7144.759457,3602.3581749999184,1.8667980000000028,64.921536,0.08282400000000223,760.5446319999897,391.53014799993986,0.000925419593617742,23773,23795,0.0011359811510797718,23795,23768,1898605,295,6415,21/06/12,15000,1,0.8,4,27900,3514,20,0.2,false,0,0,0,0,0,110,0,0
wt040_056,40,2,7247.9663055779965,7146.970906,7122.225748,1424.4182619999979,0.6225640000000006,24.654241,0.09089099999999917,811.7924839998961,476.2231580000312,0.005503144649761678,1272,1279,0.005503144649761678,1279,1272,318048,239,35308,21/06/12,15000,1,0.8,4,31487,14128,20,0.2,false,0,0,0,0,0,110,0,0
