NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_001,40,4,38.63968659800001,37.507191,0.4372809999999987,0.38589999999999947,0.3527380000000022,37.008195,0.05886999999999887,0.19045099999991066,0.022714999999998042,0,439,439,0.002283105017618482,439,438,185,167,1,21/06/15,15000,1,0.8,4,14910,5494,20,0.2,false,0,0,0,0,0,110,0,0
wt040_011,40,4,45.94386187299999,45.057681,0.5899390000000011,0.5360310000000084,0.4891719999999964,44.408676,0.05630100000000482,0.22550699999991508,0.021560999999998387,0,5737,5737,0.000348735832545992,5737,5735,228,201,1,21/06/15,15000,1,0.8,4,15629,2053,20,0.2,false,0,0,0,0,0,110,0,0
wt040_006,40,4,47.74783157600001,46.666193,0.5241720000000001,0.44336300000001216,0.37486699999999473,46.100255,0.03883099999999473,0.21629899999996383,0.016321000000004915,0,2374,2374,0.0008431703200492537,2374,2372,268,212,1,21/06/15,15000,1,0.8,4,15247,2544,20,0.2,false,0,0,0,0,0,110,0,0
wt040_026,40,4,29.667157228000008,29.619636,0.3972610000000003,0.38957599999999815,0.38957900000000123,29.13671,0.0837690000000002,0.22502099999999103,0.016201000000002352,0,88,88,0,88,88,135,135,0,21/06/15,15000,1,0.8,4,16423,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_021,40,4,35.72943634000001,35.641854,0.9756629999999973,0.9692049999999952,0.9692080000000018,34.619223,0.04693900000000184,0.33666299999997307,0.010483000000000686,0,22793,22793,0,22793,22793,322,322,0,21/06/15,15000,1,0.8,4,13379,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_016,40,4,50.959321510000024,50.583687000000005,12.406065000000005,6.553461999999946,0.7148620000000037,38.126678000000005,0.048850000000001614,1.5679950000000389,0.5619039999999345,0,21493,21493,0.00041891640288498804,21493,21484,5541,280,54,21/06/15,15000,1,0.8,4,17032,1362,20,0.2,false,0,0,0,0,0,110,0,0
wt040_031,40,4,53.12671238299998,52.949923999999996,1.9612610000000004,1.3700609999999926,0.5339449999999957,50.915394,0.07324000000000552,0.49658499999999606,0.1110090000000028,0,2525,2525,0.01161858973893486,2525,2496,523,186,3,21/06/15,15000,1,0.8,4,18383,4396,20,0.2,false,0,0,0,0,0,110,0,0
wt040_036,40,4,52.03131834999999,51.82019,10.383091,5.9765069999999625,0.5740499999999997,41.38771,0.04782300000000106,1.5488499999997671,0.5675569999999581,0,6420,6420,0.010228166796187542,6420,6355,3707,240,12,21/06/15,15000,1,0.8,4,18607,3912,20,0.2,false,0,0,0,0,0,110,0,0
wt040_051,40,4,0.11925225400000272,0.092474,0.01793900000000001,0.01407,0.014073000000000002,0.021751,0.050896000000000004,0.013587000000000002,0.00998099999999999,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,18529,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_041,40,4,54.77587584599999,54.590156,5.092971999999996,3.1855579999999932,0.6701219999999992,49.418243000000004,0.07621399999999312,0.735434000000005,0.2179959999999994,0,17685,17685,0.0029490160492854863,17685,17633,1308,216,4,21/06/15,15000,1,0.8,4,18174,3908,20,0.2,false,0,0,0,0,0,110,0,0
