NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_046,40,4,37.511098024000006,37.369468,0.846232999999998,0.8392529999999994,0.8392549999999943,36.468892,0.051529000000002156,0.2351019999999835,0.008859999999998536,0,19124,19124,0,19124,19124,279,279,0,21/06/15,15000,1,0.8,4,13050,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_056,40,4,39.90893294,39.775782,3.2881419999999935,1.9520069999999947,0.42670400000000086,36.425434,0.05988399999999672,0.7822619999999887,0.31563399999998865,0,826,826,0.03508771925427604,826,798,666,164,5,21/06/15,15000,1,0.8,4,17262,7458,20,0.2,false,0,0,0,0,0,110,0,0
wt040_066,40,4,39.719402941,39.632213,1.136614999999999,1.0667179999999945,0.9592039999999997,38.430074,0.06477000000000288,0.41455900000001833,0.019016000000007693,0,20251,20251,0.00019756013235553118,20251,20247,414,291,2,21/06/15,15000,1,0.8,4,19270,875,20,0.2,false,0,0,0,0,0,110,0,0
wt040_076,40,4,0.07886499800002866,0.06756400000000001,0.017497000000000006,0.014377000000000001,0.014379000000000003,0.0006519999999999998,0.047457,0.014275000000000003,0.010054000000000007,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,17050,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_071,40,4,42.473333844000024,42.331037,1.4288759999999954,1.4206720000000033,1.4206739999999982,40.833753,0.06838199999999972,0.3757460000000208,0.012808999999997184,0,26740,26740,0,26740,26740,308,308,0,21/06/15,15000,1,0.8,4,16927,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_061,40,4,77.72595539999998,77.277638,25.75698,14.194449999999996,0.6570639999999983,51.450614,0.0672090000000054,3.677819000000291,1.8684779999998682,0,7357,7357,0.005741626793473462,7357,7315,9254,184,67,21/06/15,15000,1,0.8,4,18932,3035,20,0.2,false,0,0,0,0,0,110,0,0
wt040_081,40,4,60.344317214,60.208339,3.539985999999999,2.260733000000009,0.7129460000000023,56.617824,0.047243999999999176,0.6166609999999437,0.17894300000000385,0,564,564,0.044444444362139915,564,540,1254,227,10,21/06/15,15000,1,0.8,4,18484,3176,20,0.2,false,0,0,0,0,0,110,0,0
wt040_091,40,4,54.565664208999976,54.439028,4.354919000000002,3.246487000000002,1.440324000000004,50.002565999999995,0.07960599999999829,0.7776779999999377,0.21062700000000945,0,15569,15569,0.0007713569453769134,15569,15557,1444,305,5,21/06/15,15000,1,0.8,4,19342,1057,20,0.2,false,0,0,0,0,0,110,0,0
wt040_101,40,4,0.10622726999997667,0.081334,0.023611999999999994,0.018708000000000002,0.018710000000000004,0.0003559999999999987,0.057342000000000004,0.017917000000000002,0.013485999999999998,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,19349,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_106,40,4,0.12020271400001548,0.109146,0.025930999999999996,0.020967,0.020969,0.0009289999999999993,0.08226,0.02083800000000001,0.015324000000000004,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,21400,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_086,40,4,66.95250348399998,66.750386,0.5057510000000036,0.4412160000000114,0.3875539999999944,66.186547,0.05621899999999869,0.22874000000000194,0.017880000000005225,0,4725,4725,0.001271455816640929,4725,4719,230,169,2,21/06/15,15000,1,0.8,4,18851,654,20,0.2,false,0,0,0,0,0,110,0,0
wt040_096,40,4,33.825383320000014,33.74942,0.37519499999999795,0.36675900000000183,0.3667609999999968,33.29891,0.07439500000000265,0.17387900000001366,0.012549999999997397,0,36266,36266,0,36266,36266,131,131,0,21/06/15,15000,1,0.8,4,18399,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_121,40,4,37.51426142399998,37.382629,5.288699999999999,3.308954999999976,0.6847589999999997,32.023976000000005,0.06721399999999988,0.910399999999953,0.2193539999999743,0,35751,35751,0.0003357676487776444,35751,35739,2599,257,12,21/06/15,15000,1,0.8,4,19852,1860,20,0.2,false,0,0,0,0,0,110,0,0
wt040_116,40,4,62.29917540399998,61.988006,17.787679999999995,10.064101999999949,0.6872280000000046,44.137379,0.06241399999999686,2.1504929999996065,0.8717269999999004,0,15566,15566,0.0017375635496661584,15566,15539,5396,227,36,21/06/15,15000,1,0.8,4,19551,2304,20,0.2,false,0,0,0,0,0,110,0,0
wt040_111,40,4,108.10409059300002,107.51916600000001,38.69317500000001,21.156362,0.48536,68.764263,0.05886300000000233,5.393960999999393,2.6230939999999094,0,11263,11263,0.004548697823354557,11263,11212,14769,182,68,21/06/15,15000,1,0.8,4,22102,3212,20,0.2,false,0,0,0,0,0,110,0,0
wt050_001,50,4,52.993622254,52.751354000000006,1.745476999999994,1.0864010000000022,0.44329799999999864,50.924511,0.08134200000000646,0.626386999999994,0.18601600000000929,0,785,785,0.010296010282759317,785,777,356,165,3,21/06/15,15000,1,0.8,4,24669,12857,20,0.2,false,0,0,0,0,0,110,0,0
wt050_016,50,4,56.535496131,56.352119,1.976509,1.903103999999999,1.839967999999999,54.276167,0.09704199999999474,0.7236400000000671,0.05060499999999735,0,25376,25376,3.940886699352083e-05,25376,25375,425,397,1,21/06/15,15000,1,0.8,4,23723,723,20,0.2,false,0,0,0,0,0,110,0,0
wt050_011,50,4,86.990214965,86.677545,5.269447999999997,3.7147699999999872,0.9710249999999974,81.33406,0.07057500000000516,1.2024759999998054,0.29764500000003125,0,12879,12879,0.000621552326888233,12879,12871,1576,305,8,21/06/15,15000,1,0.8,4,24599,3616,20,0.2,false,0,0,0,0,0,110,0,0
wt050_006,50,4,145.51055996799994,144.84119199999998,58.10006799999999,35.08521699999994,1.0781220000000076,86.630575,0.10726099999999406,12.174233999999572,6.493577000000101,0,8317,8317,0.00228970836318514,8317,8298,9344,292,40,21/06/15,15000,1,0.8,4,26973,7064,20,0.2,false,0,0,0,0,0,110,0,0
wt050_021,50,4,55.8333691869999,55.609093,1.9772280000000038,1.9663339999999963,1.9663380000000004,53.534054,0.09432499999999777,0.6993050000000451,0.020035000000000025,0,59440,59440,0,59440,59440,396,396,0,21/06/15,15000,1,0.8,4,26292,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_026,50,4,44.85394216299994,44.747228,0.5698310000000006,0.5630680000000012,0.5630699999999962,44.083368,0.09371799999999553,0.29535099999994685,0.01888599999999485,0,54,54,0,54,54,177,177,0,21/06/15,15000,1,0.8,4,23982,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_031,50,4,66.18459741799995,66.052141,0.7090580000000131,0.7023009999999914,0.7023050000000097,65.255885,0.08366800000000296,0.39910599999996066,0.01531900000000519,0,3061,3061,0,3061,3061,233,233,0,21/06/15,15000,1,0.8,4,26835,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_046,50,4,38.37532270099996,38.269515,2.109252000000005,2.0000180000000043,1.8359400000000008,36.063309000000004,0.09692700000000087,0.8065800000000038,0.0315519999999907,0,44455,44455,6.748852694890019e-05,44455,44452,582,457,1,21/06/15,15000,1,0.8,4,26540,1439,20,0.2,false,0,0,0,0,0,110,0,0
wt050_051,50,4,0.13495790100000704,0.10497,0.02387099999999999,0.01996600000000001,0.019968000000000014,0.00011899999999999931,0.080961,0.019842000000000012,0.014557999999999988,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,25194,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_041,50,4,93.26987979499995,93.066203,12.645109000000005,8.471319000000022,0.9158869999999979,80.287047,0.13034199999999885,1.7528530000001439,0.5617919999999685,0,21806,21806,0.0010558692557932393,21806,21783,3035,206,12,21/06/15,15000,1,0.8,4,29661,3568,20,0.2,false,0,0,0,0,0,110,0,0
wt050_036,50,4,107.70416850599997,107.499807,2.004678999999996,1.823613999999992,1.5292199999999951,105.39126399999999,0.10013099999999042,0.6574209999999567,0.060506000000017934,0,10796,10796,0.00018528812301414784,10796,10794,435,299,1,21/06/15,15000,1,0.8,4,28996,2245,20,0.2,false,0,0,0,0,0,110,0,0
wt050_056,50,4,70.704886494,70.50488999999999,5.785244999999989,3.380330000000015,0.7058739999999943,64.609993,0.10710799999999665,1.4358109999997168,0.5371209999999849,0,570,570,0.059479553792788936,570,538,819,208,4,21/06/15,15000,1,0.8,4,26349,11812,20,0.2,false,0,0,0,0,0,110,0,0
wt050_066,50,4,82.28235617700011,82.08006999999999,2.500690999999989,2.494037000000006,2.4940399999999983,79.497302,0.07828800000000058,0.7718359999996949,0.01631799999999828,0,23138,23138,0,23138,23138,455,455,0,21/06/15,15000,1,0.8,4,23722,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_076,50,4,0.1621172969998952,0.130759,0.034857,0.028439000000000006,0.028441000000000008,0.0010090000000000003,0.094353,0.028322,0.020552000000000015,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,30362,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_071,50,4,90.94389569000009,90.50912,23.217331,14.086902000000109,1.7228489999999965,67.173485,0.11465099999999495,2.7531279999994496,0.7582440000000332,0,42645,42645,0.0004692082111326872,42645,42625,5589,307,25,21/06/15,15000,1,0.8,4,25627,3458,20,0.2,false,0,0,0,0,0,110,0,0
wt050_081,50,4,67.31317156099999,67.095303,1.1827559999999977,1.0188909999999964,0.892358999999999,65.810676,0.10144500000001244,0.6647650000000169,0.058396999999999366,0,495,495,0.035564853482081896,495,478,304,268,1,21/06/15,15000,1,0.8,4,31663,12851,20,0.2,false,0,0,0,0,0,110,0,0
wt050_091,50,4,58.12021281900002,57.9345,2.5492920000000012,2.3706880000000012,2.0539520000000024,55.284267,0.09837299999999516,0.7735320000000101,0.03597599999999801,0,26551,26551,0.0001883522941238472,26551,26546,553,334,2,21/06/15,15000,1,0.8,4,31733,1512,20,0.2,false,0,0,0,0,0,110,0,0
wt050_096,50,4,88.97861106000005,88.426084,33.937119,22.111818000000078,1.9361040000000003,54.402239,0.0866969999999938,4.467031000000333,1.128332000000178,0,50326,50326,0.00027826363491258025,50326,50312,12374,345,51,21/06/15,15000,1,0.8,4,29286,2623,20,0.2,false,0,0,0,0,0,110,0,0
wt050_101,50,4,0.15086723599995366,0.117076,0.03404699999999998,0.02859700000000001,0.028599000000000013,0.0009160000000000019,0.079693,0.028387999999999997,0.02087900000000001,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,27013,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_106,50,4,0.13818191799998658,0.126713,0.034090999999999996,0.028283000000000003,0.028285000000000005,0.0010370000000000015,0.08848900000000001,0.027827000000000005,0.022537000000000015,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,31395,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_061,50,4,314.0581607820001,312.00928700000003,237.74873900000003,134.86977800000034,2.4586260000000095,74.137084,0.1197220000000101,33.09065199999101,16.219484999999835,0,7898,7898,0.0061146496807497255,7898,7850,40979,326,129,21/06/15,15000,1,0.8,4,32396,6481,20,0.2,false,0,0,0,0,0,110,0,0
wt050_086,50,4,247.41240751299995,246.029641,129.01336400000002,77.18597299999958,1.852878000000004,116.883764,0.13201000000000818,18.465962000000616,9.370188000000425,0,8369,8369,0.004923150815931418,8369,8328,37605,248,125,21/06/15,15000,1,0.8,4,29955,3450,20,0.2,false,0,0,0,0,0,110,0,0
wt050_111,50,4,164.75175796099995,163.87872,52.659845000000004,33.09363500000005,2.5724680000000006,111.10995999999999,0.10585799999999779,9.255622000001821,4.631344000001306,0,10069,10069,0.0025878371650654088,10073,10047,20394,347,33,21/06/15,15000,1,0.8,4,32995,2605,20,0.2,false,0,0,0,0,0,110,0,0
wt040_001,40,2,18.911375033000013,18.847932,1.4533960000000015,1.1112549999999999,0.5278010000000002,17.305794000000002,0.08680000000000021,0.6392520000000061,0.0915230000000058,0,606,606,0.037671232812206794,606,584,392,184,2,21/06/15,15000,1,0.8,4,25468,14593,20,0.2,false,0,0,0,0,0,110,0,0
wt040_006,40,2,24.649510482000096,24.547568000000002,1.1805229999999973,0.9638649999999984,0.699822000000001,23.285923999999998,0.07891099999999796,0.5776830000000004,0.07761499999999799,0,3886,3886,0.0028387096766867848,3886,3875,361,233,2,21/06/15,15000,1,0.8,4,27343,7906,20,0.2,false,0,0,0,0,0,110,0,0
wt040_011,40,2,23.81649745200002,23.730301,1.8202730000000003,1.4882980000000003,0.8733839999999979,21.831845,0.07613699999999923,0.8096690000000102,0.12180699999999689,0,9617,9617,0.0026063386152412075,9617,9592,525,257,2,21/06/15,15000,1,0.8,4,26561,5951,20,0.2,false,0,0,0,0,0,110,0,0
wt050_116,50,4,286.1477853399999,284.378311,184.11405499999998,104.68498099999968,1.0695249999999987,100.139342,0.12123700000000781,24.564514000003058,12.323534000000123,0,11552,11552,0.0028648320164194087,11552,11519,38777,229,138,21/06/15,15000,1,0.8,4,26568,4091,20,0.2,false,0,0,0,0,0,110,0,0
wt050_121,50,4,223.36378428000012,222.051613,87.70142100000001,53.46462300000039,2.5334569999999985,134.216905,0.12950200000000223,10.62593800000036,4.066279999999637,0,23792,23792,0.0010097610231820195,23792,23768,25508,315,102,21/06/15,15000,1,0.8,4,27900,3358,20,0.2,false,0,0,0,0,0,110,0,0
wt040_021,40,2,24.48559667099994,24.40311,0.976897000000001,0.9732000000000021,0.973202999999998,23.354257999999998,0.06872599999999807,0.5239529999999881,0.012257999999999214,0,41048,41048,0,41048,41048,356,356,0,21/06/15,15000,1,0.8,4,20451,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_026,40,2,23.76640752100002,23.695028,0.5505999999999993,0.5445829999999994,0.5445840000000004,23.026586,0.11771400000000298,0.3739169999999987,0.0712719999999969,0,87,87,0,87,87,136,136,0,21/06/15,15000,1,0.8,4,29758,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_031,40,2,39.1826353150002,38.982648999999995,8.587848999999999,6.094293999999987,1.2017370000000014,30.265537,0.1292320000000018,3.2724460000000413,1.4154779999999327,0,3812,3812,0.014369345392663825,3812,3758,1414,272,3,21/06/15,15000,1,0.8,4,34158,11589,20,0.2,false,0,0,0,0,0,110,0,0
wt040_036,40,2,64.0735700109999,63.776933,21.279296000000002,14.91374200000002,1.2752490000000023,42.411681,0.08458900000000114,4.820405999999764,1.420544000000021,0,10713,10713,0.0049718574104153975,10713,10660,7799,328,19,21/06/15,15000,1,0.8,4,31597,5518,20,0.2,false,0,0,0,0,0,110,0,0
wt040_041,40,2,45.20507485600001,45.022999,2.649172,2.556157000000006,2.5292260000000013,42.259946,0.11109299999999678,1.1308350000000473,0.05382000000000886,0,30802,30802,0.0001298785635388701,30802,30798,516,507,1,21/06/15,15000,1,0.8,4,30865,1612,20,0.2,false,0,0,0,0,0,110,0,0
wt040_051,40,2,0.20816978999982894,0.17959899999999998,0.043599,0.03550400000000001,0.03550699999999998,0.0002920000000000006,0.135685,0.035399000000000014,0.025583999999999996,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,34810,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_046,40,2,20.74751929199988,20.636535000000002,1.460718,1.4565860000000015,1.456588,19.117456,0.056595000000001505,0.5955880000000029,0.010778999999999428,0,34146,34146,0,34146,34146,494,494,0,21/06/15,15000,1,0.8,4,17388,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_056,40,2,36.93910754500007,36.795772,2.9392899999999997,2.0088719999999896,0.833878999999996,33.734264,0.11948800000000404,1.292960999999913,0.5061720000000278,0,1279,1279,0.005503144649761678,1279,1272,452,212,3,21/06/15,15000,1,0.8,4,31487,14116,20,0.2,false,0,0,0,0,0,110,0,0
wt040_016,40,2,271.22280178799997,269.26347499999997,238.71668699999998,143.34892800000048,1.8262479999999996,30.428272,0.11709400000000159,34.25570300000004,13.16979499999961,0,38356,38356,0.0020639026046434176,38356,38277,61935,404,148,21/06/15,15000,1,0.8,4,28623,5557,20,0.2,false,0,0,0,0,0,110,0,0
wt040_071,40,2,49.03814633000002,48.686003,12.810884000000001,9.07509299999996,2.213554000000002,35.765475,0.10655200000000065,2.58173300000027,0.42301999999997975,0,47952,47952,0.00035464691769365503,47952,47935,3792,489,7,21/06/15,15000,1,0.8,4,25074,2446,20,0.2,false,0,0,0,0,0,110,0,0
wt040_076,40,2,0.19584322299988344,0.180773,0.049303000000000013,0.041597999999999996,0.0416,0.000673,0.128283,0.041492,0.030770999999999965,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,31206,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_061,40,2,139.25087493799992,138.229108,103.517188,66.06983899999989,1.4450849999999988,34.619703,0.09100999999999715,20.302471999999703,7.491750000000344,0,11488,11488,0.016457264199570228,11488,11302,29469,354,53,21/06/15,15000,1,0.8,4,34784,10346,20,0.2,false,0,0,0,0,0,110,0,0
wt040_081,40,2,46.570998431000135,46.339704,7.460423999999996,5.205894999999991,1.2547350000000037,38.796406,0.07987399999999667,2.4366600000000957,0.5792220000000086,0,571,571,0.26607538743663994,571,451,1841,343,8,21/06/15,15000,1,0.8,4,33177,12573,20,0.2,false,0,0,0,0,0,110,0,0
wt040_091,40,2,33.86250485599999,33.700556,2.287178000000001,2.28454,2.284543000000003,31.288905,0.12249999999999872,1.4606600000000398,0.03632200000000552,0,26075,26075,0,26075,26075,514,514,0,21/06/15,15000,1,0.8,4,35659,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_096,40,2,25.77082921600004,25.647844,3.6951789999999995,3.172905999999994,1.9715430000000005,21.835715,0.11580700000000022,1.3526420000000101,0.08037300000000158,0,66116,66116,9.075782786128033e-05,66116,66110,1381,516,2,21/06/15,15000,1,0.8,4,31251,1716,20,0.2,false,0,0,0,0,0,110,0,0
wt040_101,40,2,0.1632079009998506,0.147824,0.03897000000000002,0.033421000000000006,0.03342300000000001,0,0.108838,0.032910999999999996,0.02386500000000001,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,37197,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_106,40,2,0.1881331649999538,0.176955,0.03900199999999998,0.033032000000000006,0.03303500000000001,0.00046500000000000014,0.134363,0.03290199999999999,0.023411000000000015,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,41040,0,20,0.2,false,0,0,0,0,0,110,0,0
wt040_086,40,2,109.72697961500012,108.967357,54.232510999999995,34.47316699999989,2.0765659999999997,54.610405,0.12439299999999776,10.862979000000173,4.767079999999801,0,6048,6048,0.008672448297419538,6048,5996,15259,399,38,21/06/15,15000,1,0.8,4,35968,4438,20,0.2,false,0,0,0,0,0,110,0,0
wt040_111,40,2,52.384967723000045,52.149606,14.093411000000003,9.525767999999992,1.9204389999999947,37.939969999999995,0.11479099999999676,3.056839999999717,0.7416790000000049,0,17936,17936,0.0021791361679511013,17936,17897,5571,386,15,21/06/15,15000,1,0.8,4,42861,3336,20,0.2,false,0,0,0,0,0,110,0,0
wt040_121,40,2,27.25861812800008,27.111938,2.903508000000002,2.7215099999999985,2.273060000000001,24.092623,0.11386600000000158,1.363583000000009,0.040356999999996646,0,64516,64516,0.00013951974204133629,64516,64507,812,472,2,21/06/15,15000,1,0.8,4,34422,1879,20,0.2,false,0,0,0,0,0,110,0,0
wt050_001,50,2,32.73709315800011,32.489114,7.613622999999997,4.961870999999995,1.2119540000000022,24.716829,0.15611700000000184,3.217149999999993,0.7082149999999956,0,1268,1268,0.029220779197061054,1268,1232,958,229,3,21/06/15,15000,1,0.8,4,43076,27196,20,0.2,false,0,0,0,0,0,110,0,0
wt040_116,40,2,121.42518400199992,120.70935,69.697535,43.5257139999999,1.767313999999999,50.89835,0.11343700000000467,12.573840999999078,4.512408000000086,0,25870,25870,0.004114267970652295,25870,25764,15803,361,27,21/06/15,15000,1,0.8,4,34489,6446,20,0.2,false,0,0,0,0,0,110,0,0
wt050_006,50,2,72.36532262699984,71.985349,16.147658000000007,11.123715999999973,2.446249999999999,55.663989,0.17122499999999974,5.465284999999888,1.8575380000000763,0,14272,14272,0.0007713344084726643,14272,14261,2117,411,7,21/06/15,15000,1,0.8,4,47825,12860,20,0.2,false,0,0,0,0,0,110,0,0
wt050_011,50,2,69.7514518370001,69.493758,9.265972000000005,6.976358999999988,1.995899999999999,60.094127,0.13098600000000005,2.735904000000133,0.3401150000000186,0,23028,23028,0.001217391304294896,23028,23000,2211,420,6,21/06/15,15000,1,0.8,4,43454,8763,20,0.2,false,0,0,0,0,0,110,0,0
wt050_021,50,2,30.73856554400004,30.644316999999997,3.695888,3.4514840000000007,3.0733439999999987,26.808262,0.1377050000000004,1.6809579999999897,0.04786799999999758,0,111069,111069,1.8007148837926595e-05,111069,111067,1005,763,1,21/06/15,15000,1,0.8,4,36837,2109,20,0.2,false,0,0,0,0,0,110,0,0
wt050_026,50,2,35.09241144700013,34.955203999999995,1.3003679999999989,1.289742000000004,1.2897450000000035,33.466661,0.18531699999999773,0.8311509999999132,0.035265000000002544,0,26,26,0,26,26,222,222,0,21/06/15,15000,1,0.8,4,42722,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_016,50,2,158.23259120900002,157.28967,90.65276800000001,55.99195900000001,2.706418999999997,66.482816,0.15356199999999376,12.138797999998914,2.9012069999998573,0,46072,46072,0.0013257699245544376,46072,46011,16115,457,24,21/06/15,15000,1,0.8,4,38272,6654,20,0.2,false,0,0,0,0,0,110,0,0
wt050_031,50,2,92.99325999899997,92.530325,27.470229000000003,18.174716000000004,2.621068000000008,64.840455,0.21559399999999584,9.80046400000009,3.283660000000012,0,5378,5378,0.01682737757291976,5378,5289,3749,360,11,21/06/15,15000,1,0.8,4,50634,20184,20,0.2,false,0,0,0,0,0,110,0,0
wt050_036,50,2,130.24989862700022,129.573471,44.107731999999984,28.517678000000004,2.406638000000001,85.25224899999999,0.20944299999999316,9.700881999999808,2.870587000000029,0,18956,18956,0.003440791911310106,18956,18891,6559,382,11,21/06/15,15000,1,0.8,4,52878,9374,20,0.2,false,0,0,0,0,0,110,0,0
wt050_041,50,2,135.00136466900017,134.353339,57.75134700000001,38.270923000000096,5.645896999999991,76.366867,0.23146600000001172,13.151087999999675,3.2491650000000476,0,38058,38058,0.0027930016862670478,38058,37952,10831,717,13,21/06/15,15000,1,0.8,4,50054,8847,20,0.2,false,0,0,0,0,0,110,0,0
wt050_051,50,2,0.22811501000023782,0.204507,0.04545000000000002,0.038326,0.038328,0.0008590000000000004,0.155545,0.03817599999999999,0.027089000000000002,0,0,0,0,0,0,1,1,0,21/06/15,15000,1,0.8,4,45580,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_056,50,2,54.3324110210001,54.006151,13.392125,8.626045999999995,1.4255999999999958,40.467749,0.1436119999999974,6.0803660000001045,2.2605290000000693,0,761,761,0.04246575336648527,761,730,1629,268,8,21/06/15,15000,1,0.8,4,48655,24472,20,0.2,false,0,0,0,0,0,110,0,0
wt050_046,50,2,144.04192672499994,143.03965200000002,88.29037799999999,56.547595999999956,4.090257999999999,54.575360999999994,0.17060200000000236,10.90646299999927,1.8265920000001898,0,82105,82105,0.0002558354855970002,82105,82084,19258,605,40,21/06/15,15000,1,0.8,4,41180,4805,20,0.2,false,0,0,0,0,0,110,0,0
wt050_066,50,2,80.797896692,80.41721,6.059645000000003,6.037312,6.03731599999999,74.155908,0.19796399999999892,2.259475999999978,0.0707790000000017,0,40907,40907,0,40907,40907,585,585,0,21/06/15,15000,1,0.8,4,42415,0,20,0.2,false,0,0,0,0,0,110,0,0
