NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,40,2,14.438532278989442,14.377875,2.3748179999999994,1.8433350000000015,0.61669600000000102,11.909049,0.09034399999999998,1.2983779999999818,0.85411199999999532,0,606,606,0.037671232812206794,606,584,465,207,3,21/06/01,10000,1,0.80000000000000004,4,25468,14563,0,0,0,0,0,110,0,0,
wt040_001,40,2,15.426563594024628,15.339827,2.8446829999999999,2.2752960000000026,0.63415799999999933,12.408821999999999,0.082859999999998379,1.6578480000000297,1.1674269999999982,0,606,606,0.037671232812206794,606,584,515,206,3,21/06/01,10000,1,0.80000000000000004,4,25468,14600,0,0,0,0,0,110,0,0,
wt040_006,40,2,17.328542351024225,17.230187000000001,1.7098619999999976,1.4613619999999994,0.7200969999999991,15.442599000000001,0.074258999999999631,1.0680009999999722,0.71213099999998875,0,3886,3886,0.0028387096766867848,3886,3875,396,232,2,21/06/01,10000,1,0.80000000000000004,4,27343,7464,0,0,0,0,0,110,0,0,
wt040_006,40,2,17.495384716021363,17.425747000000001,2.019972000000001,1.780686999999995,0.71203199999999889,15.310597,0.091801999999999495,1.2909799999999763,0.90109400000000583,0,3886,3886,0.0028387096766867848,3886,3875,488,249,2,21/06/01,10000,1,0.80000000000000004,4,27343,7533,0,0,0,0,0,110,0,0,
wt040_011,40,2,16.942866032011807,16.887827000000001,2.2392530000000015,1.8477309999999996,0.95205800000000096,14.551831999999999,0.093472000000000222,1.1348789999999429,0.76609899999999698,0,9617,9617,0.0026063386152412075,9617,9592,724,285,3,21/06/01,10000,1,0.80000000000000004,4,26561,5734,0,0,0,0,0,110,0,0,
wt040_011,40,2,17.526745983981527,17.467447999999997,2.658259000000001,2.0605619999999973,0.70434400000000075,14.715904,0.090044999999999931,1.2450249999999841,0.854885000000003,0,9617,9617,0.0026063386152412075,9617,9592,731,238,4,21/06/01,10000,1,0.80000000000000004,4,26561,5881,0,0,0,0,0,110,0,0,
wt040_016,40,2,484.74365633900743,481.091632,465.33172100000002,317.53685500000023,1.3425889999999985,15.665042999999999,0.091805000000000803,164.88404899999983,128.3235530000008,0,38356,38356,0.0020639026046434176,38356,38277,123229,345,165,21/06/01,10000,1,0.80000000000000004,4,28623,5610,0,0,0,0,0,110,0,0,
wt040_016,40,2,901.88581375597278,894.94445199999996,878.80738699999995,609.76387000000159,1.3378149999999991,16.039070000000002,0.097967000000000581,336.71582399999079,266.36730900001157,0,38356,38356,0.0020639026046434176,38356,38277,209074,359,212,21/06/01,10000,1,0.80000000000000004,4,28623,5601,0,0,0,0,0,110,0,0,
wt040_021,40,2,13.025799801049288,12.959217000000001,1.6554339999999996,1.6502370000000006,1.6502400000000002,11.230855999999999,0.069930000000001158,0.87145699999997994,0.52500000000000036,0,41048,41048,0,41048,41048,588,588,0,21/06/01,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_021,40,2,12.791164883004967,12.732898,1.5791539999999991,1.5746310000000001,1.5746330000000004,11.088640999999999,0.061557000000000528,0.84627900000002043,0.51886200000000215,0,41048,41048,0,41048,41048,589,589,0,21/06/01,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_026,40,2,16.876256601011846,16.765010999999998,6.4595679999999991,4.3536759999999965,0.47131899999999938,10.198826,0.10328499999999963,3.6290649999999705,2.8116939999999957,0,87,87,0.060975609012492576,87,82,548,137,5,21/06/01,10000,1,0.80000000000000004,4,29758,18949,0,0,0,0,0,110,0,0,
