NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,40,2,19.446603987948038,19.322102000000001,1.9032680000000006,1.3700509999999966,0.61933799999999906,17.318657999999999,0.095791999999999433,0.65145500000001277,0.17224600000000834,0,606,606,0.037671232812206794,606,584,413,201,2,21/06/02,10000,1,0.80000000000000004,4,25468,14556,0,0,0,0,0,110,0,0,
wt040_001,40,2,19.891176569042727,19.516490000000001,1.8146030000000017,1.2746950000000048,0.61321000000000225,17.585605999999999,0.11250599999999977,0.59040399999997817,0.12694100000000219,0,606,606,0.037671232812206794,606,584,400,201,2,21/06/02,10000,1,0.80000000000000004,4,25468,14600,0,0,0,0,0,110,0,0,
wt040_001,40,2,20.593897092039697,20.427285999999999,1.8259329999999991,1.283056000000002,0.62316200000000066,18.470097000000003,0.12909300000000101,0.59271299999999272,0.13481300000000473,0,606,606,0.037671232812206794,606,584,394,202,2,21/06/02,10000,1,0.80000000000000004,4,25468,14583,0,0,0,0,0,110,0,0,
wt040_001,40,2,19.918794162920676,19.816195999999998,1.2628909999999998,0.89775899999999709,0.44589600000000118,18.45196,0.096845999999999322,0.48136400000001345,0.096302999999995365,0,606,606,0.037671232812206794,606,584,379,192,2,21/06/02,15000,1,0.80000000000000004,4,25468,14593,0,0,0,0,0,110,0,0,
wt040_006,40,2,21.371819355990738,21.299849000000002,1.6831890000000023,1.3388010000000001,0.78327099999999916,19.482896,0.13327400000000011,0.61394200000002641,0.16356400000000448,0,3886,3886,0.0028387096766867848,3886,3875,439,237,2,21/06/02,10000,1,0.80000000000000004,4,27343,7894,0,0,0,0,0,110,0,0,
wt040_006,40,2,20.739611232071184,20.672329999999999,1.1558860000000024,0.91886000000000223,0.58192899999999881,19.423250000000003,0.089325999999999794,0.47488300000005523,0.084096000000002391,0,3886,3886,0.0028387096766867848,3886,3875,427,240,2,21/06/02,10000,1,0.80000000000000004,4,27343,7940,0,0,0,0,0,110,0,0,
wt040_006,40,2,19.642479964066297,19.526678,1.7496130000000001,1.4019809999999993,0.83560299999999899,17.656898000000002,0.11606799999999851,0.61492199999998931,0.12936399999999537,0,3886,3886,0.0028387096766867848,3886,3875,466,254,2,21/06/02,10000,1,0.80000000000000004,4,27343,7887,0,0,0,0,0,110,0,0,
wt040_006,40,2,24.305069391033612,24.221405999999998,1.2274269999999987,1.0097430000000003,0.64897799999999961,22.906516,0.086035000000002526,0.48840100000006359,0.062641999999996756,0,3886,3886,0.0028387096766867848,3886,3875,476,264,2,21/06/02,15000,1,0.80000000000000004,4,27343,7896,0,0,0,0,0,110,0,0,
wt040_011,40,2,23.723690297920257,23.602105999999999,2.5785809999999998,1.7886260000000043,0.62298000000000187,20.927311,0.092096999999998985,0.68060899999995428,0.1726939999999999,0,9617,9617,0.0026063386152412075,9617,9592,935,242,7,21/06/02,10000,1,0.80000000000000004,4,26561,5982,0,0,0,0,0,110,0,0,
wt040_011,40,2,57.069715593010187,56.705819000000005,33.190384000000002,15.853654000000038,0.80219999999999914,23.404860000000003,0.1068780000000018,8.2385760000001724,3.0024279999999877,0,9617,9617,0.0026063386152412075,9617,9592,3049,251,3,21/06/02,10000,1,0.80000000000000004,4,26561,26561,0,0,0,0,0,110,0,0,
