NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,40,2,13.9902094299905,13.898040999999999,1.3282919999999994,0.97790400000000055,0.4915579999999995,12.482858,0.083061999999999969,0.50710799999998635,0.092041999999999291,0,606,606,0.037671232812206794,606,584,416,210,2,21/06/01,10000,1,0.80000000000000004,4,25468,14593,0,0,0,0,0,110,0,0,
wt040_006,40,2,17.703592539997771,17.627028000000003,1.2426969999999997,1.0237750000000041,0.57870600000000039,16.284115999999997,0.096222999999998393,0.50737200000002147,0.10547599999999591,0,3886,3886,0.0028387096766867848,3886,3875,448,225,2,21/06/01,10000,1,0.80000000000000004,4,27343,7910,0,0,0,0,0,110,0,0,
wt040_011,40,2,18.424369961954653,18.341386,2.1366569999999996,1.5359020000000037,0.6671219999999991,16.110344000000001,0.090415000000000134,0.64575899999998754,0.16141599999999201,0,9617,9617,0.0026063386152412075,9617,9592,769,267,6,21/06/01,10000,1,0.80000000000000004,4,26561,5972,0,0,0,0,0,110,0,0,
wt040_016,40,2,911.85293874901254,904.11908799999992,887.28215899999998,512.15612099999987,1.0505870000000002,16.748524,0.084689999999998378,118.20267799999661,47.898915000003029,0,38356,38356,0.0020639026046434176,38356,38277,303975,392,319,21/06/02,10000,1,0.80000000000000004,4,28623,5567,0,0,0,0,0,110,0,0,
wt040_021,40,2,13.210391935950611,13.132139,1.4058810000000008,1.4003669999999993,1.4003709999999998,11.655949,0.066349999999999909,0.52182799999999219,0.013966999999999175,0,41048,41048,0,41048,41048,456,456,0,21/06/01,10000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_026,40,2,15.530830941977911,15.445957999999999,4.5047610000000002,2.1346640000000008,0.40241299999999924,10.828314000000001,0.10929100000000069,1.3760360000000151,0.62027399999999844,0,87,87,0.060975609012492576,87,82,594,146,6,21/06/01,10000,1,0.80000000000000004,4,29758,18102,0,0,0,0,0,110,0,0,
wt040_031,40,2,22.616656067024451,22.482916000000003,3.780659,2.5962009999999971,0.72762099999999919,18.583492,0.11471599999999782,1.2368609999999087,0.31488999999999834,0,3812,3812,0.014369345392663825,3812,3758,996,244,4,21/06/01,10000,1,0.80000000000000004,4,34158,10625,0,0,0,0,0,110,0,0,
wt040_036,40,2,91.900162103003822,91.242806999999999,67.029074999999992,40.324840999999978,1.0752209999999991,24.107125,0.10229700000000008,12.09776700000004,5.1366839999999918,0,10713,10713,0.0049718574104153975,10713,10660,21467,336,37,21/06/01,10000,1,0.80000000000000004,4,31597,5443,0,0,0,0,0,110,0,0,
wt040_041,40,2,21.960364355007187,21.855582999999999,2.5615050000000004,2.1171890000000104,1.3898020000000031,19.193290999999999,0.098531999999998732,0.81342500000000584,0.065853999999994528,0,30802,30802,0.0001298785635388701,30802,30798,1178,397,3,21/06/01,10000,1,0.80000000000000004,4,30865,2210,0,0,0,0,0,110,0,0,
wt040_046,40,2,14.453949121991172,14.406037000000001,1.3925739999999998,1.3893620000000002,1.3893640000000005,12.942625,0.067022999999998945,0.48902099999999216,0.01221899999999998,0,34146,34146,0,34146,34146,518,518,0,21/06/01,10000,1,0.80000000000000004,4,17388,0,0,0,0,0,0,110,0,0,
wt040_051,40,2,0.22895729896845296,0.202983,0.047101000000000004,0.039570999999999995,0.039573999999999998,0.00036700000000000101,0.152169,0.039467000000000002,0.032239999999999991,0,0,0,0,0,0,1,1,0,21/06/01,10000,1,0.80000000000000004,4,34810,0,0,0,0,0,0,110,0,0,
wt040_056,40,2,18.348949536040891,18.260281000000003,2.1408759999999987,1.2571159999999963,0.54217099999999974,16.019911,0.096891000000002947,0.75503700000002638,0.14351600000000175,0,1279,1279,0.0055031446497616782,1279,1272,427,209,4,21/06/01,10000,1,0.80000000000000004,4,31487,31487,0,0,0,0,0,110,0,0,
wt040_061,40,2,1392.5625948560191,1381.2926580000001,1356.5118049999999,801.7245370000054,1.2057380000000002,24.66789,0.11214400000000069,266.31007300005626,125.5309130000096,0,11488,11488,0.016457264199570228,11488,11302,458377,333,510,21/06/02,10000,1,0.80000000000000004,4,34784,10393,0,0,0,0,0,110,0,0,
wt040_066,40,2,1278.735284082999,1268.9012029999999,1249.1075070000002,720.49118599999963,1.3311620000000026,19.660721000000002,0.12889799999999951,227.21716400002941,95.185967000002449,0,35279,35279,0.0042413891259823113,35279,35130,369288,372,294,21/06/02,10000,1,0.80000000000000004,4,34477,8418,0,0,0,0,0,110,0,0,
wt040_071,40,2,36.971779021027032,36.703779999999995,20.746479000000001,13.303198999999976,1.4739629999999977,15.842766000000001,0.11050700000000013,2.9123940000000719,0.78176099999997817,0,47952,47952,0.00035464691769365503,47952,47935,9112,461,7,21/06/02,10000,1,0.80000000000000004,4,25074,2331,0,0,0,0,0,110,0,0,
