n,m,first_size_graph_avg_AF,first_size_graph_avg_TI,first_size_graph_avg_ATI,first_size_graph_m_AF,first_size_graph_m_TI,first_size_graph_m_ATI,gap_avg_AF,gap_avg_TI,gap_avg_ATI,gap_m_AF,gap_m_TI,gap_m_ATI,tot_lb_avg_AF,tot_lb_avg_TI,tot_lb_avg_ATI,tot_lb_m_AF,tot_lb_m_TI,tot_lb_m_ATI
40,2,32001.84,40469.88,791286.92,39047,48893,955523,0.0204467302166149,0.020956601850356547,0.020442099059381668,0.33924611221183787,0.33924611221183787,0.33924611221183787,0.5784332799999999,0.2092144,3.67094472,1.0749440000000001,0.472354,6.51538
40,4,17106.4,21218.68,396156.04,20441,25173,468670,0.00774172694254729,0.008437550837085328,0.007412688959933828,0.09999999814814818,0.10614524942001398,0.09191176301632789,0.17934795999999997,0.056655760000000006,0.8029530800000002,0.330841,0.143921,1.8260060000000002
50,2,51556.72,63780.84,1565283.64,61796,73255,1797423,0.0063611428890179315,0.006801386642694126,0.006341471564772856,0.04246575284293489,0.04246575284293489,0.04246575284293489,1.18380572,0.3616478,9.768229679999997,2.009227,0.698604,16.631505999999998
50,4,27381.6,33116.84,782738.36,32269,37655,888911,0.0066196748942240966,0.006945229598748519,0.0066098439895268925,0.0650557608725695,0.0650557608725695,0.0650557608725695,0.42962144,0.16026128,2.6738949199999995,0.7466119999999999,0.39327399999999996,5.56726
100,2,217914.56,257988.0,12775704.48,256596,294397,14577952,0.017447872489769013,0.023958303333786415,0.017448577184823254,0.2105262880886463,0.35294112456748167,0.2105262880886463,9.96460104,3.193643119999999,203.56446264,16.207945000000002,7.5279940000000005,352.315886
100,4,113987.04,131464.0,6384977.24,131890,149297,7248951,0.006649042758544196,0.006736905353841236,0.006633471429553033,0.09151193512583641,0.09151193512583641,0.09151193512583641,4.1477425199999995,1.4928434,66.78098424,7.285796,3.4346059999999996,123.578015
