n,m,first_size_graph_amax_AFBC,first_size_graph_amax_TI,first_size_graph_amax_ATI,first_size_graph_mean_AFBC,first_size_graph_mean_TI,first_size_graph_mean_ATI,gap_amax_AFBC,gap_amax_TI,gap_amax_ATI,gap_mean_AFBC,gap_mean_TI,gap_mean_ATI,opt_sum_AFBC,opt_sum_TI,opt_sum_ATI,reduction_amax_AFBC,reduction_amax_TI,reduction_amax_ATI,reduction_mean_AFBC,reduction_mean_TI,reduction_mean_ATI,size_after_reduced_cost_amax_AFBC,size_after_reduced_cost_amax_TI,size_after_reduced_cost_amax_ATI,size_after_reduced_cost_mean_AFBC,size_after_reduced_cost_mean_TI,size_after_reduced_cost_mean_ATI,tot_lb_amax_AFBC,tot_lb_amax_TI,tot_lb_amax_ATI,tot_lb_mean_AFBC,tot_lb_mean_TI,tot_lb_mean_ATI,tot_lb_root_amax_AFBC,tot_lb_root_amax_TI,tot_lb_root_amax_ATI,tot_lb_root_mean_AFBC,tot_lb_root_mean_TI,tot_lb_root_mean_ATI
40,2,85720,48853,954703,63207.12,40429.88,790466.92,0.27272726668010494,0.26607538212693166,0.26607538212693166,0.015165244238277375,0.01779528935944597,0.017280953086762852,8,5,7,0.9999999999878165,0.9999999999795304,0.947559809924565,0.8581528827503909,0.7825945212925176,0.8853267781970976,28284,31194,334921,8803.32,8826.52,90997.44,1.6307273999999978,0.9960635999999994,2.1424824000000013,0.8309216160000003,0.42403783200000006,1.3460982479999997,1.6307292000000018,0.9960660000000018,2.142488399999999,0.8309236560000001,0.42403958399999986,1.3461025200000003
40,4,44202,25133,467850,35688.72,21178.68,395336.04,0.044444443621399196,0.0502793286726382,0.036764705206531155,0.004913035648944642,0.005602331935775685,0.004601797825107348,9,7,9,0.9999999999766345,0.9999999999602116,0.9452470603747349,0.9006511015753635,0.8566823657587019,0.9100019486421485,14530,10442,132076,3518.64,3044.68,35589.8,0.9676235999999974,0.9303323999999988,1.0311918000000018,0.431185751999999,0.30646536,0.462327768,0.967626,0.9303341999999984,1.0311948000000009,0.4311876720000001,0.30646713599999975,0.4623309360000003
50,2,128610,73205,1796148,99560.96,63730.84,1564008.64,0.04246575284293489,0.04246575284293489,0.04246575284293489,0.00576176074594031,0.006155807604389119,0.005696842423503358,8,6,7,0.9999999999915367,0.9999999999863398,0.9584096532549514,0.8411655989876752,0.8018673794892811,0.901769555217526,54508,51721,565092,15993.16,12815.44,154941.24,3.1185857999999995,1.9838052000000004,7.468638599999994,1.5874904160000003,0.8975879760000002,3.3342947999999994,3.1185876000000037,1.9838069999999959,7.4686428,1.587492984,0.8975895839999996,3.33429936
50,4,65988,37605,887636,55552.24,33066.84,781463.36,0.059479552797777835,0.059479552797777835,0.059479552797777835,0.0051089787409460885,0.0054209282137909105,0.0051034696392818334,9,7,8,0.9999999999840734,0.9999999999734078,0.9568534908440375,0.8886069527349953,0.8560978886192465,0.9144492454589828,25120,22838,281870,6204.92,4816.92,67441.24,2.6058407999999926,2.2704935999999973,2.423978400000007,0.9666817679999994,0.735910703999999,1.3388613599999994,2.6058432000000042,2.2704954000000015,2.423983800000002,0.9666837120000005,0.7359123600000003,1.3388659199999993
100,2,524504,294297,14572902,406817.12,257888.0,12770654.48,0.14791403099982262,0.35294112456748167,0.2105262880886463,0.007743764383719924,0.022713065987778253,0.016076847380328992,6,4,4,0.9999999999979614,0.9999999999962236,0.9796008377076817,0.8390595122628879,0.7661800459197038,0.9049961138406108,207412,223760,6033340,65510.88,60777.88,1228991.0,33.77319719999999,25.69298759999999,119.15478780000001,16.99952404799999,9.931030800000002,55.88553758399999,33.773202599999976,25.69299059999998,119.15479199999999,16.999528319999992,9.931032960000001,55.88554305599999
100,4,268360,149197,7243901,224023.52,131364.0,6379927.24,0.08620689540839661,0.08620689540839661,0.08620689540839661,0.005304546302155834,0.005402517349283573,0.005237476355535401,6,6,6,0.999999999996023,0.9999999999930049,0.9791990682945523,0.8502163564939943,0.8311497463430838,0.9194433328946132,111151,98008,2780688,33118.92,22118.0,513770.32,20.816229599999996,17.47950780000001,47.6750352,10.013092488000002,6.7280640720000005,22.130074656000005,20.81623199999999,17.479510800000003,47.67504240000005,10.013095991999997,6.728066159999995,22.130079864
