NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,40,2,10.462018046004232,10.193972,2.3383520000000004,1.5314810000000003,0.6067780000000003,7.724639,0.12861800000000034,0.6665639999999966,0.15185299999999913,0,606,606,0.037671232812206794,606,584,453,191,3,21/05/20,5000,1,0.8,4,25468,14563,0,0,0,0,0,110,0,0
wt040_001,40,4,13.974063836998539,13.687712,0.3510799999999996,0.2850260000000002,0.24890899999999938,13.283167,0.04925600000000152,0.14246400000000925,0.024635999999999214,0,439,439,0.002283105017618482,439,438,177,158,1,21/05/20,5000,1,0.8,4,14910,5167,0,0,0,0,0,110,0,0
wt040_006,40,4,16.399773520999588,16.208033,2.178174000000002,1.2482119999999988,0.4048240000000014,13.960693000000001,0.06481399999999837,0.3601989999999642,0.11136600000000207,0,2374,2374,0.0008431703200492537,2374,2372,621,178,4,21/05/20,5000,1,0.8,4,15247,2697,0,0,0,0,0,110,0,0
wt040_006,40,2,13.437334119997104,13.348267,1.7357669999999992,1.3917449999999985,0.8864679999999989,11.481867999999999,0.12691500000000033,0.5813709999999777,0.09091700000000102,0,3886,3886,0.0028387096766867848,3886,3875,462,262,2,21/05/20,5000,1,0.8,4,27343,7883,0,0,0,0,0,110,0,0
wt040_011,40,4,13.296687909998582,13.246212,0.428113999999999,0.3819289999999995,0.354023999999999,12.766392,0.05140600000000006,0.18826800000001143,0.016850000000001586,0,5737,5737,0.000348735832545992,5737,5735,210,190,1,21/05/20,5000,1,0.8,4,15629,2024,0,0,0,0,0,110,0,0
wt040_011,40,2,11.195530309996684,11.117618,3.5594800000000006,2.398571999999999,0.8672189999999995,7.447861,0.106325,0.808084999999994,0.20523200000000053,0,9617,9617,0.0026063386152412075,9617,9592,854,254,6,21/05/20,5000,1,0.8,4,26561,5979,0,0,0,0,0,110,0,0
wt040_016,40,4,16.386872860006406,16.255736000000002,2.615970000000001,1.691017000000004,0.5939830000000015,13.58795,0.04964099999999938,0.4614109999999645,0.10368699999999897,0,21493,21493,0.00041891640288498804,21493,21484,1352,324,3,21/05/20,5000,1,0.8,4,17032,1424,0,0,0,0,0,110,0,0
wt040_021,40,4,13.86004002399568,13.78994,0.5930100000000014,0.5856550000000009,0.5856569999999994,13.136096,0.05695200000000078,0.20396599999999765,0.014939999999999287,2.415705079811823,6673,22793,-0.9996465690472637,22793,64490673,190,190,0,21/05/20,5000,1,0.8,4,13379,0,0,0,0,0,0,110,0,0
wt040_026,40,4,9.825866074999794,9.791682,0.2484069999999985,0.24442400000000042,0.24442599999999892,9.481726,0.05741699999999916,0.1553140000000095,0.014540999999999471,88000000,0,88,-0.9997528089859558,88,356000,126,126,0,21/05/20,5000,1,0.8,4,16423,0,0,0,0,0,0,110,0,0
wt040_021,40,2,11.18725720900693,11.137376,2.587534,2.579662000000001,2.5796639999999993,8.458337,0.0883610000000008,0.9754669999999344,0.020534000000001384,6.96584513740232,5153,41048,-0.9997141288241946,41048,143589153,608,608,0,21/05/20,5000,1,0.8,4,20451,0,0,0,0,0,0,110,0,0
wt040_026,40,2,8.865049346000887,8.748785999999999,3.672097,1.8340900000000007,0.36686200000000024,4.986938,0.08621300000000076,1.2014090000000062,0.5078560000000012,0,87,87,0.060975609012492576,87,82,539,134,5,21/05/20,5000,1,0.8,4,29758,18102,0,0,0,0,0,110,0,0
wt040_031,40,4,20.096039108000696,20.022026,1.1700039999999987,0.9158309999999972,0.5268629999999987,18.746527,0.1011330000000008,0.3947740000000053,0.0708340000000014,0,2525,2525,0.01161858973893486,2525,2496,353,187,2,21/05/20,5000,1,0.8,4,18383,4388,0,0,0,0,0,110,0,0
wt040_031,40,2,13.014136481986498,12.934721000000001,3.892253,2.864053000000002,0.9535300000000007,8.928609999999999,0.11042400000000008,1.3799039999999785,0.34256899999999924,0,3812,3812,0.014369345392663825,3812,3758,1000,253,4,21/05/20,5000,1,0.8,4,34158,10640,0,0,0,0,0,110,0,0
wt040_036,40,4,40.64084236099734,40.437051999999994,13.386348000000002,7.3283369999999906,0.5310089999999974,26.955515,0.09121500000000182,2.050605000000118,0.8990279999999835,0,6420,6420,0.010228166796187542,6420,6355,2965,146,15,21/05/20,5000,1,0.8,4,18607,3903,0,0,0,0,0,110,0,0
wt040_041,40,4,18.17728798200551,18.022947,1.873742,1.496296000000001,0.7416060000000009,16.055978,0.08926300000000253,0.4759420000000212,0.07996599999999532,0,17685,17685,0.0029490160492854863,17685,17633,577,211,3,21/05/20,5000,1,0.8,4,18174,3856,0,0,0,0,0,110,0,0
wt040_041,40,2,19.07164740099688,18.901341000000002,4.111578999999999,3.142018,1.6472929999999995,14.665006,0.12096499999999999,1.1319369999999065,0.14538800000002183,0,30802,30802,0.0001298785635388701,30802,30798,1474,411,4,21/05/20,5000,1,0.8,4,30865,2040,0,0,0,0,0,110,0,0
